PHYLUM,CLASS,ORDER,SPECIES
Basidiomycota,Agaricomycetes,Cantharellales,Cejpomyces globosisporus
Basidiomycota,Agaricomycetes,Agaricales,Pluteus gracilis
Ascomycota,Eurotiomycetes,Eurotiales,Elaphomyces hassiacus
Basidiomycota,Microbotryomycetes,Microbotryales,Microbotryum scorzonerae
Basidiomycota,Agaricomycetes,Agaricales,Pluteus punctipes
Ascomycota,Dothideomycetes,Pleosporales,Preussia funiculata
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia cruciferarum
Ascomycota,Pezizomycetes,Pezizales,Pulvinula cinnabarina
Ascomycota,Sordariomycetes,Hypocreales,Hypocrea parestonica
Basidiomycota,Agaricomycetes,Hymenochaetales,Phellinus viticola
Ascomycota,Pezizomycetes,Pezizales,Tuber macrosporum
Basidiomycota,Agaricomycetes,Agaricales,Mycena riparia
Ascomycota,Dothideomycetes,Dothideales,Dothidea insculpta
Basidiomycota,Agaricomycetes,Gomphales,Ramaria lactobrunnescens
Ascomycota,Leotiomycetes,Helotiales,Mollisia uda
Ascomycota,Sordariomycetes,Hypocreales,Byssostilbe stilbigera
Basidiomycota,Agaricomycetes,Agaricales,Entoloma pratense
Ascomycota,Leotiomycetes,Cyttariales,Unguiculella aggregata
Ascomycota,Leotiomycetes,Helotiales,Diplocarpon mali
Ascomycota,Dothideomycetes,Pleosporales,Ophiobolus eburensis
Basidiomycota,Agaricomycetes,Agaricales,Mycena nucicola
Ascomycota,Leotiomycetes,Thelebolales,Ryparobius sexdecimsporus
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius violeocaeruleus
Basidiomycota,Agaricomycetes,Cantharellales,Cantharellus henricii
Ascomycota,Eurotiomycetes,Verrucariales,Merismatium heterophractum
Ascomycota,Dothideomycetes,Collemopsidiales,Zwackhiomyces lecanorae
Basidiomycota,Agaricomycetes,Agaricales,Macrolepiota prominens
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius personatus
Ascomycota,Sordariomycetes,Xylariales,Eutypa lineolata
Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeria berengeriana
Ascomycota,Leotiomycetes,Helotiales,Phaeohelotium pani
Basidiomycota,Agaricomycetes,Agaricales,Flammulaster siparius
Basidiomycota,Agaricomycetes,Agaricales,Chromosera cyanophylla
Basidiomycota,Agaricomycetes,Agaricales,Mycena alniphila
Basidiomycota,Agaricomycetes,Russulales,Lactarius brunneoviolascens
