Species,Taxon,Body Mass,LTNZ,UTNZ,TNZ,Latitude,Longitude,Acclimatization*,Reference
,,(g),(°C),(°C),(°C),(°N),(°W),,
Microtus pinetorum,Cricetidae,23.8,23,35,12,42.442,-76.47,A,McNab 1992
Lemmiscus curtatus,Cricetidae,30.3,25,33,8,43.8,-120.55,W,McNab 1988
Microtus richardsoni,Cricetidae,51.3,22.5,33.5,11,44.19,-121.65,W,McNab 1988
Peromyscus californicus,Cricetidae,49.6,27,34.5,7.5,37.8715,-122.272,W,McNab and Morrison 1963
Peromyscus truei,Cricetidae,33,27,33,6,38.35,-81.66,W,McNab and Morrison 1963
Peromyscus crinitus,Cricetidae,20.9,29,35,6,40.22,-122.74,W,McNab and Morrison 1963
Peromyscus eremicus,Cricetidae,21.5,30,36.5,6.5,41.52,-116.34,W,McNab and Morrison 1963
Microtus montanus,Cricetidae,51.2,26,31,5,46.43,-117.1,A,Packard 1968
Reithrodontomys megalotis,Cricetidae,7.6,32,35,3,35.17,-119.42,W,Pearson 1960
Myopus schisticolor,Cricetidae,26.4,20.9,24,3.1,65.19,25.26,A,Saarela and Hissa 1993
Cricetulus barabensis,Cricetidae,31.4,27,30,3,39.25,116.34,W,Song and Wang 2003
Graomys griseoflavus,Cricetidae,69.4,25.6,34,8.4,-33.2,-60.21,W,"Vidal et al ., 1987"
Phodopus sungorus,Cricetidae,24,20,35,15,50.48,8.46,A,Weiner and Heldmaier 1987
Onychomys torridus,Cricetidae,19.1,30,35,5,32.19,-106.45,W,Whitford and Conley 1971
Microtus pennsylvanicus,Cricetidae,38.9,25,29,4,45.54,-111.32,W,Wiegert 1961
Microtus ochrogaster,Cricetidae,47.4,25,34,9,40.35,-105.05,W,"Wunder et al ., 1977"
Ctenomys talarum,Ctenomyidae,116,25,30,5,-37.46,-59.51,W,Busch 1989
Priodontes maximus,Dasypodidae,45190,27,34,7,4.51,-58.55,A,McNab 1980
Cabassous centralis,Dasypodidae,3810,27.5,32.5,5,8.38,-80.462,A,McNab 1980
Dasyprocta azarae,Dasyproctidae,3849,18,35,17,-25.17,-59.52,A,Arends and McNab 2001
Myoprocta acouchy,Dasyproctidae,914,25,30,5,4.57,-55.65,A,Arends and McNab 2001
Dasyprocta leporina,Dasyproctidae,2687,20,34,14,10.22,-66.48,A,Arends and McNab 2001
Napaeozapus insignis,Dipodidae,20.9,30,34,4,44.13,-73.51,W,Brower and Cade 1966
Jaculus jaculus,Dipodidae,74.5,33,35,2,32.561,-3.116,W,Hooper and Hilali 1972
Jaculus orientalis,Dipodidae,139.1,28,33,5,32.562,-3.111,W,Hooper and Hilali 1972
Thrichomys apereoides,Echimyidae,323,25,35,10,-14.26,39.13,A,Arends and McNab 2001
Erethizon dorsatum,Erethizontidae,7710,0,20,20,61.41,-147.54,A,"Irving et al ., 1995"
Geomys bursarius,Geomyidae,197,30,33,3,45.1,-93.16,W,Bradley and Yousaf 1975
Thomomys umbrinus,Geomyidae,85,27,35,8,36.15,-115.142,W,"Bradley et al ., 1974"
Thomomys talpoides,Geomyidae,106,26,32,6,37.44,-119.34,W,"Bradley et al ., 1974"
Geomys pinetis,Geomyidae,202,26,35,9,29.4,-82.195,A,McNab 1966
Thomomys bottae,Geomyidae,143,28,30,2,33.59,-117.59,W,Vleck 1979
Chaetodipus intermedius,Heteromyidae,15.2,33,36,3,35.21,-113.76,W,"Bradley et al ., 1975"
Dipodomys microps,Heteromyidae,57.2,27,32,5,36.052,-115.132,W,"Breyen et al ., 1973"
Chaetodipus penicillatus,Heteromyidae,16,31,37,6,43.583,-74.231,W,Brower and Cade 1966
Dipodomys merriami,Heteromyidae,34.7,32,35,3,43.584,-74.233,W,Dawson 1955
Dipodomys panamintinus,Heteromyidae,64.2,33,34,1,43.582,-74.233,W,Dawson 1955
