species,tmax (°C),tmin (°C),tmax metric,tmin metric,acclim-ated (Y/N),latitude collected,hemis-phere,altitude >600 m,habitat,phylum,class,order,family,Ref.
Isotoma klovstadi,34.5,-13.3,crit.,crit.,N,71.7,S,0,terr.,Arthropoda,Entognatha,Collembola,Isotomidae,59
Cryptopygus cisantarcticus,31.8,-7.9,crit.,crit.,N,71.7,S,0,terr.,Arthropoda,Entognatha,Collembola,Isotomidae,59
Friesea grisea,35.1,-7.7,crit.,crit.,N,71.7,S,0,terr.,Arthropoda,Entognatha,Collembola,Isotomidae,59
Antarctopsocus jeanneli,29.5,-13,crit.,leth.,N,46.9,S,99,terr.,Arthropoda,Insecta,Psocoptera,Elipsocidae,60
Halmaeusa atriceps,32.4,-4.1,crit.,crit.,Y,46.9,S,99,terr.,Arthropoda,Insecta,Coleoptera,Staphylinidae,60
Amphibolurus decresii,43.8,7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Amphibolurus diemensis,44.8,3.1,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Amphibolurus muricatus,42.3,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Agaidae,61
Austrelaps superbus,41.2,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Elapidae,61
Bassiana duperreyi,43.5,3,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Egernia cunninghami,41.9,4.7,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Egernia inornata,41.6,9.8,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Egernia saxatilis,41.8,4.5,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
Egernia whitii,41.8,4,crit.,crit.,N,30,S,no data,terr.,Chordata,Reptilia,Squamata,Scincidae,61
